temperature,time,conectiondeviced,target
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
27.0,15,MXchip,Normale
27.1,15,MXchip,Normale
29.2,15,MXchip03,Normale
27.0,15,MXchip,Normale
29.1,15,MXchip03,Normale
26.89,15,MXchip,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
27.0,15,MXchip,Normale
27.1,15,MXchip,Normale
27.0,15,MXchip,Normale
26.89,15,MXchip,Normale
27.0,15,MXchip,Normale
27.1,15,MXchip,Normale
27.0,15,MXchip,Normale
27.1,15,MXchip,Normale
27.2,15,MXchip,Normale
27.1,15,MXchip,Normale
27.0,15,MXchip,Normale
26.89,15,MXchip,Normale
29.2,15,MXchip03,Normale
27.0,15,MXchip,Normale
26.89,15,MXchip,Normale
29.2,15,MXchip03,Normale
27.0,15,MXchip,Normale
27.1,15,MXchip,Normale
27.0,15,MXchip,Normale
26.89,15,MXchip,Normale
29.1,15,MXchip03,Normale
26.79,15,MXchip,Normale
29.1,15,MXchip03,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.79,15,MXchip,Normale
26.7,15,MXchip,Normale
26.79,15,MXchip,Normale
26.89,15,MXchip,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
26.79,15,MXchip,Normale
26.89,15,MXchip,Normale
26.79,15,MXchip,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
26.7,15,MXchip,Normale
29.1,15,MXchip03,Normale
26.6,15,MXchip,Normale
29.2,15,MXchip03,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
29.1,15,MXchip03,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.7,15,MXchip,Normale
26.6,15,MXchip,Normale
26.5,15,MXchip,Normale
26.39,15,MXchip,Normale
26.5,15,MXchip,Normale
29.1,15,MXchip03,Normale
29.0,15,MXchip03,Normale
26.39,15,MXchip,Normale
26.29,15,MXchip,Normale
26.2,14,MXchip,Normale
26.29,14,MXchip,Normale
26.2,14,MXchip,Normale
26.29,14,MXchip,Normale
26.2,14,MXchip,Normale
26.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
26.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
25.89,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.79,14,MXchip,Normale
25.89,14,MXchip,Normale
25.79,14,MXchip,Normale
25.7,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.6,14,MXchip,Normale
29.0,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.2,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
24.89,14,MXchip,Normale
25.0,14,MXchip,Normale
24.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
29.0,14,MXchip03,Normale
24.89,14,MXchip,Normale
25.0,14,MXchip,Normale
24.89,14,MXchip,Normale
24.79,14,MXchip,Anormale
24.89,14,MXchip,Normale
24.79,14,MXchip,Anormale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
24.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.2,14,MXchip,Normale
25.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.2,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.2,14,MXchip,Normale
25.29,14,MXchip,Normale
25.1,14,MXchip,Normale
25.2,14,MXchip,Normale
25.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.2,14,MXchip,Normale
29.0,14,MXchip03,Normale
25.1,14,MXchip,Normale
25.2,14,MXchip,Normale
25.1,14,MXchip,Normale
29.0,14,MXchip03,Normale
29.0,14,MXchip03,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
24.89,14,MXchip,Normale
24.79,14,MXchip,Anormale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
24.89,14,MXchip,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.1,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
24.89,14,MXchip,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.1,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
29.2,14,MXchip03,Normale
24.89,14,MXchip,Normale
24.79,14,MXchip,Anormale
25.0,14,MXchip,Normale
24.79,14,MXchip,Anormale
24.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.1,14,MXchip,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
24.89,14,MXchip,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.0,14,MXchip,Normale
29.2,14,MXchip03,Normale
24.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.0,14,MXchip,Normale
24.89,14,MXchip,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
25.0,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.1,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.0,14,MXchip,Normale
25.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
25.2,14,MXchip,Normale
29.0,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.1,14,MXchip,Normale
29.0,14,MXchip03,Normale
25.2,14,MXchip,Normale
25.29,14,MXchip,Normale
25.2,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.5,14,MXchip,Normale
25.6,14,MXchip,Normale
25.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.2,14,MXchip,Normale
25.29,14,MXchip,Normale
25.2,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.5,14,MXchip,Normale
25.39,14,MXchip,Normale
25.5,14,MXchip,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
25.29,14,MXchip,Normale
25.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.29,14,MXchip,Normale
29.0,14,MXchip03,Normale
29.1,14,MXchip03,Normale
25.39,14,MXchip,Normale
29.0,14,MXchip03,Normale
25.5,14,MXchip,Normale
25.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.0,14,MXchip03,Normale
25.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.6,14,MXchip,Normale
25.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.39,14,MXchip,Normale
29.0,14,MXchip03,Normale
25.6,14,MXchip,Normale
25.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.6,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.7,14,MXchip,Normale
25.6,14,MXchip,Normale
25.7,14,MXchip,Normale
25.79,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.7,14,MXchip,Normale
25.79,14,MXchip,Normale
25.7,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.6,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.79,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.7,14,MXchip,Normale
25.6,14,MXchip,Normale
25.7,14,MXchip,Normale
25.6,14,MXchip,Normale
25.7,14,MXchip,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.6,14,MXchip,Normale
25.5,14,MXchip,Normale
25.7,14,MXchip,Normale
29.1,14,MXchip03,Normale
25.79,14,MXchip,Normale
29.2,14,MXchip03,Normale
25.7,14,MXchip,Normale
25.6,14,MXchip,Normale
25.7,14,MXchip,Normale
25.79,14,MXchip,Normale
25.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
26.0,14,MXchip,Normale
25.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.79,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
25.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
26.0,14,MXchip,Normale
25.89,14,MXchip,Normale
26.0,14,MXchip,Normale
25.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
26.0,14,MXchip,Normale
26.1,14,MXchip,Normale
29.2,14,MXchip03,Normale
26.0,14,MXchip,Normale
29.2,14,MXchip03,Normale
26.1,14,MXchip,Normale
26.0,14,MXchip,Normale
29.2,14,MXchip03,Normale
26.1,14,MXchip,Normale
26.2,14,MXchip,Normale
26.1,14,MXchip,Normale
26.2,14,MXchip,Normale
26.29,14,MXchip,Normale
26.2,14,MXchip,Normale
26.1,14,MXchip,Normale
26.2,14,MXchip,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
26.29,14,MXchip,Normale
26.2,14,MXchip,Normale
26.1,14,MXchip,Normale
26.2,14,MXchip,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
26.29,14,MXchip,Normale
26.39,14,MXchip,Normale
26.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
26.6,14,MXchip,Normale
29.1,14,MXchip03,Normale
26.7,14,MXchip,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
26.6,14,MXchip,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
26.7,14,MXchip,Normale
29.2,14,MXchip03,Normale
26.79,14,MXchip,Normale
26.89,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.0,14,MXchip,Normale
27.1,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.2,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.6,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.5,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
29.1,14,MXchip03,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
27.5,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.2,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
29.2,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.29,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.2,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
29.1,14,MXchip03,Normale
27.29,14,MXchip,Normale
29.2,14,MXchip03,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.2,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.29,14,MXchip,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
27.39,14,MXchip,Normale
27.5,14,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.2,13,MXchip03,Normale
29.2,13,MXchip03,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.2,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
29.2,13,MXchip03,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.2,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.2,13,MXchip03,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.6,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.5,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.2,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.2,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.1,13,MXchip,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.1,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.2,13,MXchip,Normale
29.1,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.2,13,MXchip,Normale
27.1,13,MXchip,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.29,13,MXchip,Normale
29.0,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.1,13,MXchip03,Normale
29.0,13,MXchip03,Normale
29.1,13,MXchip03,Normale
27.39,13,MXchip,Normale
28.89,13,MXchip03,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
29.0,13,MXchip03,Normale
27.5,13,MXchip,Normale
28.89,13,MXchip03,Normale
27.39,13,MXchip,Normale
28.89,13,MXchip03,Normale
27.29,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
27.39,13,MXchip,Normale
27.5,13,MXchip,Normale
28.89,13,MXchip03,Normale
27.39,13,MXchip,Normale
